n	s	r	c	well	contents	vial	x	y	z
0	0	0	0	A01			110	86	0
1	1	0	1	A02			101	86	0
2	2	0	2	A03			92	86	0
3	3	0	3	A04			83	86	0
4	4	0	4	A05			74	86	0
5	5	0	5	A06			65	86	0
6	6	0	6	A07	mpnnFtsZv1	1	56	86	0
7	7	0	7	A08	mpnnFtsZv2	2	47	86	0
8	8	0	8	A09	mpnnFtsZv3	3	38	86	0
9	9	0	9	A10	mpnnFtsZv4	4	29	86	0
10	10	0	10	A11	mpnnFtsZv5	5	20	86	0
11	11	0	11	A12	mpnnFtsZv6	6	11	86	0
12	23	1	0	B01			110	77	0
13	22	1	1	B02			101	77	0
14	21	1	2	B03			92	77	0
15	20	1	3	B04			83	77	0
16	19	1	4	B05			74	77	0
17	18	1	5	B06			65	77	0
18	17	1	6	B07	mpnnFtsZv7	7	56	77	0
19	16	1	7	B08	mpnnFtsZv8	8	47	77	0
20	15	1	8	B09	mpnnFtsZv9	9	38	77	0
21	14	1	9	B10	mpnnFtsZv10	10	29	77	0
22	13	1	10	B11	mpnnFtsZv11	11	20	77	0
23	12	1	11	B12	mpnnFtsZv12	12	11	77	0
24	24	2	0	C01			110	68	0
25	25	2	1	C02			101	68	0
26	26	2	2	C03			92	68	0
27	27	2	3	C04			83	68	0
28	28	2	4	C05			74	68	0
29	29	2	5	C06			65	68	0
30	30	2	6	C07	mpnnFtsZv13	13	56	68	0
31	31	2	7	C08	mpnnFtsZv14	14	47	68	0
32	32	2	8	C09	mpnnFtsZv15	15	38	68	0
33	33	2	9	C10	mpnnFtsZv16	16	29	68	0
34	34	2	10	C11	mpnnFtsZv17	17	20	68	0
35	35	2	11	C12	mpnnFtsZv18	18	11	68	0
36	47	3	0	D01			110	59	0
37	46	3	1	D02			101	59	0
38	45	3	2	D03			92	59	0
39	44	3	3	D04			83	59	0
40	43	3	4	D05			74	59	0
41	42	3	5	D06			65	59	0
42	41	3	6	D07	mpnnFtsZv19	19	56	59	0
43	40	3	7	D08	mpnnFtsZv20	20	47	59	0
44	39	3	8	D09	mpnnFtsZwt	21	38	59	0
45	38	3	9	D10	mpnnFtsZv21	22	29	59	0
46	37	3	10	D11	mpnnFtsZv22	23	20	59	0
47	36	3	11	D12	mpnnFtsZv23	24	11	59	0
48	48	4	0	E01			110	50	0
49	49	4	1	E02			101	50	0
50	50	4	2	E03			92	50	0
51	51	4	3	E04			83	50	0
52	52	4	4	E05			74	50	0
53	53	4	5	E06			65	50	0
54	54	4	6	E07	mpnnFtsZv24	25	56	50	0
55	55	4	7	E08	randFtsZv1	26	47	50	0
56	56	4	8	E09	randFtsZv2	27	38	50	0
57	57	4	9	E10	randFtsZv3	28	29	50	0
58	58	4	10	E11	randFtsZv4	29	20	50	0
59	59	4	11	E12	randFtsZv5	30	11	50	0
60	71	5	0	F01			110	41	0
61	70	5	1	F02			101	41	0
62	69	5	2	F03			92	41	0
63	68	5	3	F04			83	41	0
64	67	5	4	F05			74	41	0
65	66	5	5	F06			65	41	0
66	65	5	6	F07	randFtsZv6	31	56	41	0
67	64	5	7	F08	randFtsZv7	32	47	41	0
68	63	5	8	F09	randFtsZv8	33	38	41	0
69	62	5	9	F10	randFtsZv9	34	29	41	0
70	61	5	10	F11	randFtsZv10	35	20	41	0
71	60	5	11	F12	randFtsZv11	36	11	41	0
72	72	6	0	G01			110	32	0
73	73	6	1	G02			101	32	0
74	74	6	2	G03			92	32	0
75	75	6	3	G04			83	32	0
76	76	6	4	G05			74	32	0
77	77	6	5	G06			65	32	0
78	78	6	6	G07	randFtsZv12	37	56	32	0
79	79	6	7	G08	randFtsZv13	38	47	32	0
80	80	6	8	G09	randFtsZv14	39	38	32	0
81	81	6	9	G10	randFtsZv15	40	29	32	0
82	82	6	10	G11	randFtsZv16	41	20	32	0
83	83	6	11	G12	randFtsZv17	42	11	32	0
84	95	7	0	H01			110	23	0
85	94	7	1	H02			101	23	0
86	93	7	2	H03			92	23	0
87	92	7	3	H04			83	23	0
88	91	7	4	H05			74	23	0
89	90	7	5	H06			65	23	0
90	89	7	6	H07	randFtsZv18	43	56	23	0
91	88	7	7	H08	randFtsZv19	44	47	23	0
92	87	7	8	H09	randFtsZv20	45	38	23	0
93	86	7	9	H10	randFtsZv21	46	29	23	0
94	85	7	10	H11	randFtsZv22	47	20	23	0
95	84	7	11	H12	randFtsZv23	48	11	23	0
