n	s	r	c	well	code	series	x	y	z
0	0	0	0	A01	mpnnFtsZv1	0	20.5	8	67
1	1	0	1	A02	mpnnFtsZv2	0	29.5	8	67
2	2	0	2	A03	mpnnFtsZv3	0	38.5	8	67
3	3	0	3	A04	mpnnFtsZv4	0	47.5	8	67
4	4	0	4	A05	mpnnFtsZv5	0	56.5	8	67
5	5	0	5	A06	mpnnFtsZv6	0	65.5	8	67
6	6	0	6	A07			74.5	8	67
7	7	0	7	A08			83.5	8	67
8	8	0	8	A09			92.5	8	67
9	9	0	9	A10			101.5	8	67
10	10	0	10	A11			110.5	8	67
11	11	0	11	A12			119.5	8	67
12	23	1	0	B01	mpnnFtsZv7	1	20.5	17	67
13	22	1	1	B02	mpnnFtsZv8	1	29.5	17	67
14	21	1	2	B03	mpnnFtsZv9	1	38.5	17	67
15	20	1	3	B04	mpnnFtsZv10	1	47.5	17	67
16	19	1	4	B05	mpnnFtsZv11	1	56.5	17	67
17	18	1	5	B06	mpnnFtsZv12	1	65.5	17	67
18	17	1	6	B07			74.5	17	67
19	16	1	7	B08			83.5	17	67
20	15	1	8	B09			92.5	17	67
21	14	1	9	B10			101.5	17	67
22	13	1	10	B11			110.5	17	67
23	12	1	11	B12			119.5	17	67
24	24	2	0	C01	mpnnFtsZv13	2	20.5	26	67
25	25	2	1	C02	mpnnFtsZv14	2	29.5	26	67
26	26	2	2	C03	mpnnFtsZv15	2	38.5	26	67
27	27	2	3	C04	mpnnFtsZv16	2	47.5	26	67
28	28	2	4	C05	mpnnFtsZv17	2	56.5	26	67
29	29	2	5	C06	mpnnFtsZv18	2	65.5	26	67
30	30	2	6	C07			74.5	26	67
31	31	2	7	C08			83.5	26	67
32	32	2	8	C09			92.5	26	67
33	33	2	9	C10			101.5	26	67
34	34	2	10	C11			110.5	26	67
35	35	2	11	C12			119.5	26	67
36	47	3	0	D01	mpnnFtsZv19	3	20.5	35	67
37	46	3	1	D02	mpnnFtsZv20	3	29.5	35	67
38	45	3	2	D03	mpnnFtsZwt	3	38.5	35	67
39	44	3	3	D04	mpnnFtsZv21	3	47.5	35	67
40	43	3	4	D05	mpnnFtsZv22	3	56.5	35	67
41	42	3	5	D06	mpnnFtsZv23	3	65.5	35	67
42	41	3	6	D07			74.5	35	67
43	40	3	7	D08			83.5	35	67
44	39	3	8	D09			92.5	35	67
45	38	3	9	D10			101.5	35	67
46	37	3	10	D11			110.5	35	67
47	36	3	11	D12			119.5	35	67
48	48	4	0	E01	mpnnFtsZv24	4	20.5	44	67
49	49	4	1	E02	randFtsZv1	4	29.5	44	67
50	50	4	2	E03	randFtsZv2	4	38.5	44	67
51	51	4	3	E04	randFtsZv3	4	47.5	44	67
52	52	4	4	E05	randFtsZv4	4	56.5	44	67
53	53	4	5	E06	randFtsZv5	4	65.5	44	67
54	54	4	6	E07			74.5	44	67
55	55	4	7	E08			83.5	44	67
56	56	4	8	E09			92.5	44	67
57	57	4	9	E10			101.5	44	67
58	58	4	10	E11			110.5	44	67
59	59	4	11	E12			119.5	44	67
60	71	5	0	F01	randFtsZv6	5	20.5	53	67
61	70	5	1	F02	randFtsZv7	5	29.5	53	67
62	69	5	2	F03	randFtsZv8	5	38.5	53	67
63	68	5	3	F04	randFtsZv9	5	47.5	53	67
64	67	5	4	F05	randFtsZv10	5	56.5	53	67
65	66	5	5	F06	randFtsZv11	5	65.5	53	67
66	65	5	6	F07			74.5	53	67
67	64	5	7	F08			83.5	53	67
68	63	5	8	F09			92.5	53	67
69	62	5	9	F10			101.5	53	67
70	61	5	10	F11			110.5	53	67
71	60	5	11	F12			119.5	53	67
72	72	6	0	G01	randFtsZv12	6	20.5	62	67
73	73	6	1	G02	randFtsZv13	6	29.5	62	67
74	74	6	2	G03	randFtsZv14	6	38.5	62	67
75	75	6	3	G04	randFtsZv15	6	47.5	62	67
76	76	6	4	G05	randFtsZv16	6	56.5	62	67
77	77	6	5	G06	randFtsZv17	6	65.5	62	67
78	78	6	6	G07			74.5	62	67
79	79	6	7	G08			83.5	62	67
80	80	6	8	G09			92.5	62	67
81	81	6	9	G10			101.5	62	67
82	82	6	10	G11			110.5	62	67
83	83	6	11	G12			119.5	62	67
84	95	7	0	H01	randFtsZv18	7	20.5	71	67
85	94	7	1	H02	randFtsZv19	7	29.5	71	67
86	93	7	2	H03	randFtsZv20	7	38.5	71	67
87	92	7	3	H04	randFtsZv21	7	47.5	71	67
88	91	7	4	H05	randFtsZv22	7	56.5	71	67
89	90	7	5	H06	randFtsZv23	7	65.5	71	67
90	89	7	6	H07			74.5	71	67
91	88	7	7	H08			83.5	71	67
92	87	7	8	H09			92.5	71	67
93	86	7	9	H10			101.5	71	67
94	85	7	10	H11			110.5	71	67
95	84	7	11	H12			119.5	71	67
