A0A7G1IGH0	A0A7G1IGH0
A0A0U0WB18	A0A0U0WB18
A0A0U3P7B8	A0A0U3P7B8
A0A0U3P7B8	A0A3N0I2W4
A0A0U3P7B8	A0A0K1W142
A0A0U3P7B8	A0A014NNQ1
A0A0U3P7B8	A0A084EM70
A0A0U3P7B8	A0A099I7J5
A0A0U3P7B8	A0A0C3A1U4
A0A0U3P7B8	A0A0H3XMR3
A0A0U3P7B8	A0A0K1P5C9
A0A0U3P7B8	A0A140DX28
A0A0U3P7B8	A0A143X694
A0A0U3P7B8	A0A1B3SL62
A0A0U3P7B8	A0A1C5WND0
A0A0U3P7B8	A0A1C7HQT4
A0A0U3P7B8	A0A1H6XK78
A0A0U3P7B8	A0A1J0U163
A0A0U3P7B8	A0A1Q9YGS7
A0A0U3P7B8	A0A1Q9YJ69
A0A0U3P7B8	A0A1U7NGI0
A0A0U3P7B8	A0A1Y3T9K7
A0A0U3P7B8	A0A1Y4QYZ5
A0A0U3P7B8	A0A1Y4S7Z6
A0A0U3P7B8	A0A1Y4SWE9
A0A0U3P7B8	A0A1Y4W1P0
A0A0U3P7B8	A0A222ENK1
A0A0U3P7B8	A0A2K9LUZ9
A0A0U3P7B8	A0A2P6FCE0
A0A0U3P7B8	A0A2T4IA48
A0A0U3P7B8	A0A345DQX7
A0A0U3P7B8	A0A372YVI2
A0A0U3P7B8	A0A3A6D2S7
A0A0U3P7B8	A0A3E2VNU1
A0A0U3P7B8	A0A415RQM8
A0A0U3P7B8	A0A417CGR8
A0A0U3P7B8	A0A417CQB1
A0A0U3P7B8	A0A432ZWX0
A0A0U3P7B8	A0A433ERY8
A0A0U3P7B8	A0A4P7AJV4
A0A0U3P7B8	A0A4R3TLE7
A0A0U3P7B8	A0A4R3Z9G8
A0A0U3P7B8	A0A6N4TJ25
A0A0U3P7B8	A0A7G9RY13
A0A0U3P7B8	A0A7W8CX30
A0A0U3P7B8	A0A7Z7PMQ9
A0A0U3P7B8	A0A844FQ14
A0A0U3P7B8	A0A858ATW3
A0A0U3P7B8	A0A921KJJ5
A0A0U3P7B8	A0A942KI79
A0A0U3P7B8	A0A943EN69
A0A0U3P7B8	A0A9D2SVP5
A0A0U3P7B8	A0A9N7AY02
A0A0U3P7B8	A0AAI9T2Z3
A0A0U3P7B8	A0AAJ4EJZ2
A0A0U3P7B8	B1C400
A0A0U3P7B8	E2SLV9
A0A0U3P7B8	E4PU19
A0A0U3P7B8	E7FUX5
A0A0U3P7B8	F4MQA1
A0A0U3P7B8	G1VLU4
A0A0U3P7B8	H1BEY1
A0A0U3P7B8	N9V3X8
A0A0U3P7B8	Q14NL4
A0A0U3P7B8	Q2SS93
A0A0U3P7B8	Q6MT25
A0A0U3P7B8	R4U3X8
A0A0U3P7B8	R4UEB9
A0A0U3P7B8	U5F561
A0A0U3P7B8	W0GRF7
A0A0U3P7B8	A0A0K2JH33
A0A0U3P7B8	A0A0L1IIS9
A0A0U3P7B8	A0A0M4JT56
A0A0U3P7B8	A0A1F9ZRW4
A0A0U3P7B8	A0A1U7NN97
A0A0U3P7B8	A0A1Y4LWT0
A0A0U3P7B8	A0A1Y4QVY6
A0A0U3P7B8	A0A2K8NRY5
A0A0U3P7B8	A0A2K8NUD9
A0A0U3P7B8	A0A2K8NYM3
